dataset,shot,shot_label,backbone,method,method_variant,seed,top1_acc,top1_acc_source,num_prototypes_per_class,prototype_init,cache_entries,execution_env,run_mode,raw_metrics_is_paper_result,raw_metrics_eligible_for_paper_tables,run_dir,metrics_json_path,metadata_json_path,preflight_report_path
eurosat,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_random_group_mean,1,0.697962962962963,top1_acc,1,random_group_mean,10,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_1/random_group_mean/seed_1/20260518T015436_36797338,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_1/random_group_mean/seed_1/20260518T015436_36797338/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_1/random_group_mean/seed_1/20260518T015436_36797338/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_021_rs_cpc_seed1_shot4/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022126/result_run_preflight_report.json
eurosat,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_random_group_mean,1,0.730925925925926,top1_acc,2,random_group_mean,20,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_2/random_group_mean/seed_1/20260518T015447_d26594c4,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_2/random_group_mean/seed_1/20260518T015447_d26594c4/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_2/random_group_mean/seed_1/20260518T015447_d26594c4/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_022_rs_cpc_seed1_shot4/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022127/result_run_preflight_report.json
eurosat,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M4_random_group_mean,1,0.7340740740740741,top1_acc,4,random_group_mean,40,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_4/random_group_mean/seed_1/20260518T015502_39f7d75f,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_4/random_group_mean/seed_1/20260518T015502_39f7d75f/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_4/random_group_mean/seed_1/20260518T015502_39f7d75f/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_023_rs_cpc_seed1_shot4/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022128/result_run_preflight_report.json
eurosat,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_medoid,1,0.6346296296296297,top1_acc,1,medoid,10,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_1/medoid/seed_1/20260518T015511_9fd249b0,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_1/medoid/seed_1/20260518T015511_9fd249b0/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_1/medoid/seed_1/20260518T015511_9fd249b0/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_024_rs_cpc_seed1_shot4/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022130/result_run_preflight_report.json
eurosat,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_medoid,1,0.6466666666666666,top1_acc,2,medoid,20,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_2/medoid/seed_1/20260518T015523_f5368308,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_2/medoid/seed_1/20260518T015523_f5368308/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_2/medoid/seed_1/20260518T015523_f5368308/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_025_rs_cpc_seed1_shot4/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022131/result_run_preflight_report.json
eurosat,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M4_medoid,1,0.7340740740740741,top1_acc,4,medoid,40,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_4/medoid/seed_1/20260518T015538_871961da,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_4/medoid/seed_1/20260518T015538_871961da/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_4/medoid/seed_1/20260518T015538_871961da/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_026_rs_cpc_seed1_shot4/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022132/result_run_preflight_report.json
eurosat,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_mean,1,0.7279629629629629,top1_acc,1,mean,10,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_1/mean/seed_1/20260518T015547_31f82f17,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_1/mean/seed_1/20260518T015547_31f82f17/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_1/mean/seed_1/20260518T015547_31f82f17/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_027_rs_cpc_seed1_shot8/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022134/result_run_preflight_report.json
eurosat,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_random_group_mean,1,0.7279629629629629,top1_acc,1,random_group_mean,10,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_1/random_group_mean/seed_1/20260518T015557_50f6107e,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_1/random_group_mean/seed_1/20260518T015557_50f6107e/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_1/random_group_mean/seed_1/20260518T015557_50f6107e/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_028_rs_cpc_seed1_shot8/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022135/result_run_preflight_report.json
eurosat,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_random_group_mean,1,0.7696296296296297,top1_acc,2,random_group_mean,20,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_2/random_group_mean/seed_1/20260518T015608_d67d77e5,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_2/random_group_mean/seed_1/20260518T015608_d67d77e5/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_2/random_group_mean/seed_1/20260518T015608_d67d77e5/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_029_rs_cpc_seed1_shot8/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022136/result_run_preflight_report.json
eurosat,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M4_random_group_mean,1,0.7862962962962963,top1_acc,4,random_group_mean,40,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_4/random_group_mean/seed_1/20260518T015624_73d97f23,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_4/random_group_mean/seed_1/20260518T015624_73d97f23/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_4/random_group_mean/seed_1/20260518T015624_73d97f23/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_030_rs_cpc_seed1_shot8/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022138/result_run_preflight_report.json
eurosat,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M8_random_group_mean,1,0.7616666666666667,top1_acc,8,random_group_mean,80,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_8/random_group_mean/seed_1/20260518T015648_e6f4b088,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_8/random_group_mean/seed_1/20260518T015648_e6f4b088/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_8/random_group_mean/seed_1/20260518T015648_e6f4b088/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_031_rs_cpc_seed1_shot8/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022139/result_run_preflight_report.json
eurosat,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_medoid,1,0.6662962962962963,top1_acc,1,medoid,10,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_1/medoid/seed_1/20260518T015657_db5944f4,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_1/medoid/seed_1/20260518T015657_db5944f4/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_1/medoid/seed_1/20260518T015657_db5944f4/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_032_rs_cpc_seed1_shot8/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022140/result_run_preflight_report.json
eurosat,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_medoid,1,0.6203703703703703,top1_acc,2,medoid,20,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_2/medoid/seed_1/20260518T015708_8f4b8aa2,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_2/medoid/seed_1/20260518T015708_8f4b8aa2/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_2/medoid/seed_1/20260518T015708_8f4b8aa2/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_033_rs_cpc_seed1_shot8/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022142/result_run_preflight_report.json
eurosat,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M4_medoid,1,0.6238888888888889,top1_acc,4,medoid,40,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_4/medoid/seed_1/20260518T015724_1aac3f16,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_4/medoid/seed_1/20260518T015724_1aac3f16/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_4/medoid/seed_1/20260518T015724_1aac3f16/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_034_rs_cpc_seed1_shot8/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022143/result_run_preflight_report.json
eurosat,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M8_medoid,1,0.7616666666666667,top1_acc,8,medoid,80,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_8/medoid/seed_1/20260518T015747_f9dc0638,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_8/medoid/seed_1/20260518T015747_f9dc0638/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_8/medoid/seed_1/20260518T015747_f9dc0638/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_035_rs_cpc_seed1_shot8/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022144/result_run_preflight_report.json
